Name,USViewers,Budget,year,month,day,Date,TVSiteID,SiteID,TypeNumber,Type1,Type2,Type3
The Pacific Part One,3.08,22,2010,3,14,2010.03.14,1,1,3,Action,Adventure,Drama
The Pacific Part Two,2.79,22,2010,3,21,2010.03.21,1,2,3,Action,Adventure,Drama
The Pacific Part Three,2.77,22,2010,3,28,2010.03.28,1,3,3,Action,Adventure,Drama
The Pacific Part Four,2.52,22,2010,4,4,2010.04.04,1,4,3,Action,Adventure,Drama
"Camelot ""The Sword and the Crown""",1.13,7,2011,4,1,2011.04.01,2,5,2,Drama,Fantasy,
"Camelot ""Guinevere""",0.85,7,2011,4,8,2011.04.08,2,6,2,Drama,Fantasy,
"Camelot ""Lady of the Lake""",0.99,7,2011,4,15,2011.04.15,2,7,2,Drama,Fantasy,
"Camelot ""Justice""",0.99,7,2011,4,29,2011.04.29,2,8,2,Drama,Fantasy,
"Camelot ""The Long Night""",0.85,7,2011,5,13,2011.05.13,2,9,2,Drama,Fantasy,
"Camelot ""The Battle of Bardon Pass"" ",1,7,2011,6,3,2011.06.03,2,10,2,Drama,Fantasy,
"Camelot ""Reckoning"" ",1.03,7,2011,6,10,2011.06.10,2,11,2,Drama,Fantasy,
"Taxi Brooklyn ""Pilot""",5.34,3.7,2014,6,25,2014.06.25,3,12,3,Action,Comedy,Crime
"Taxi Brooklyn ""Brooklyn Heights""",5.24,3.7,2014,7,2,2014.07.02,3,13,3,Action,Comedy,Crime
"Taxi Brooklyn ""Cherchez les femmes""",4.62,3.7,2014,7,9,2014.07.09,3,14,3,Action,Comedy,Crime
"Taxi Brooklyn ""Precious Cargo""",4.73,3.7,2014,7,16,2014.07.16,3,15,3,Action,Comedy,Crime
"Taxi Brooklyn ""Ambush""",5.6,3.7,2014,7,23,2014.07.23,3,16,3,Action,Comedy,Crime
"Taxi Brooklyn ""Love Hurts""",5.25,3.7,2014,7,30,2014.07.30,3,17,3,Action,Comedy,Crime
"Taxi Brooklyn ""Black Widow""",5.23,3.7,2014,8,6,2014.08.06,3,18,3,Action,Comedy,Crime
"Taxi Brooklyn ""Deadline Brooklyn""",4.94,3.7,2014,8,13,2014.08.13,3,19,3,Action,Comedy,Crime
"Taxi Brooklyn ""Double Identity""",4.6,3.7,2014,8,20,2014.08.20,3,20,3,Action,Comedy,Crime
"Taxi Brooklyn ""The Longest Night""",4.42,3.7,2014,8,27,2014.08.27,3,21,3,Action,Comedy,Crime
"Taxi Brooklyn ""Frenchmen Can't Jump""",5.26,3.7,2014,9,3,2014.09.03,3,22,3,Action,Comedy,Crime
