Name,Viewers,Budget,TVSiteID,AirYear
The Pacific,2.8,22,1,2010
Camelot,1.02,7,2,2011
Taxi Brooklyn ,5.02,3.7,3,2014
Spartacus: Blood and Sand,0.98,5,4,2013
Terra Nova,7.61,4,5,2011
Crossing Lines Season 1,2.62,3,6,2013
Lost Season 1,15.69,4,7,2004
Lost Season 2,15.5,4,8,2005
Lost Season 3,15.95,4,9,2007
Lost Season 4,13.17,4,10,2008
Lost Season 5,10.94,4,11,2009
Lost Season 6,10.08,4,12,2010
Heroes Season 1,13.88,4,13,2006
Heroes Season 2,11.45,4,14,2007
Heroes Season 3,7.61,4,15,2008
Heroes Season 4,5.2,4,16,2009
Carnivale Season 1,3.54,4,17,2003
Carnivale Season 2,1.7,4,18,2005
The Borgias Season 1,0.84,5,19,2011
The Borgias Season 2,0.57,5,20,2012
The Borgias Season 3,0.61,5,21,2013
The Walking Dead Season 1,5.24,3.4,22,2010
The Walking Dead Season 2,6.9,2.75,23,2011
The West Wing Season 1,9.1,6,24,1999
The West Wing Season 2,17,6,25,2000
The West Wing Season 3,17.2,6,26,2001
The West Wing Season 4,13.5,6,27,2002
The West Wing Season 5,11.8,6,28,2003
The West Wing Season 6,11.1,6,29,2004
The West Wing Season 7,8.1,6,30,2005
Game of Thrones Season 1,2.51,6,31,2011
Game of Thrones Season 2,3.76,6,32,2012
Game of Thrones Season 3,4.97,6,33,2013
Game of Thrones Season 4,6.85,6,34,2014
ER Season 1,19.08,2,35,1994
ER Season 2,21.1,2,36,1995
ER Season 3,20.56,2,37,1996
ER Season 4,30.2,13,38,1997
ER Season 5,25.4,13,39,1998
ER Season 6,24.95,13,40,1999
ER Season 7,22.4,8,41,2000
ER Season 8,22.1,8,42,2001
ER Season 9,19.99,8,43,2002
Breaking Bad Season 1,1.45,3,44,2008
Breaking Bad Season 2,1.29,3,45,2009
Breaking Bad Season 3,1.51,3,46,2010
Breaking Bad Season 4,1.87,3,47,2011
Breaking Bad Season 5,4.31,3,48,2012
Da Vinci's Demons Season 1,0.53,3.88,49,2013
Da Vinci's Demons Season 2,0.44,3.88,50,2014
True Blood Season 1,2,4,51,2008
True Blood Season 2,4.28,4,52,2009
True Blood Season 3,4.97,4,53,2010
True Blood Season 4,4.97,4,54,2011
True Blood Season 5,4.67,4,55,2012
True Blood Season 6,4.24,4,56,2013
True Blood Season 7,3.48,4,57,2014
CSI: Miami Season 1,17.38,3.5,58,2002
CSI: Miami Season 2,19.17,3.5,59,2003
CSI: Miami Season 3,20.88,3.5,60,2004
CSI: Miami Season 4,19.04,3.5,61,2005
CSI: Miami Season 5,17.54,3.5,62,2006
CSI: Miami Season 6,14.89,3.5,63,2007
CSI: Miami Season 7,14.1,3.5,64,2008
CSI: Miami Season 8,12.62,3.5,65,2009
CSI: Miami Season 9,10.28,3.5,66,2010
CSI: Miami Season 10,9.85,3.5,67,2011
Glee Season 1,9.77,3.5,68,2009
Glee Season 2,10.11,3.5,69,2010
Glee Season 3,8.71,3.5,70,2011
Glee Season 4,8.26,3.5,71,2012
Glee Season 5,4.57,3.5,72,2013
Borgia Season 1,0.85,2.84,73,2011
Borgia Season 2,0.57,3.27,74,2012
Borgia Season 3,0.61,3.27,75,2013
Arrested Development Season 1,6.16,3,76,2003
Arrested Development Season 2,5.94,3,77,2004
Arrested Development Season 3,3.64,3,78,2005
Ghost Whisperer Season 1,10.2,3,79,2005
Ghost Whisperer Season 2,9.9,3,80,2006
Ghost Whisperer Season 3,8.67,3,81,2007
Ghost Whisperer Season 4,10.62,3,82,2008
Ghost Whisperer Season 5,7.78,3,83,2009
Friends Season 10,22.8,10,84,2003
House of Cards Season 2,6.7,4.65,85,2014
Transporter: The Series Season 1,2.96,3,86,2012
Titanic: Blood and Steel,0.24,2.5,87,2012
Mad Men Season 1,0.9,2.65,88,2007
Mad Men Season 2,1.52,2.65,89,2008
Mad Men Season 3,1.8,2.65,90,2009
Mad Men Season 4,2.27,2.65,91,2010
Mad Men Season 5,2.7,2.65,92,2012
Mad Men Season 6,2.49,2.65,93,2013
Mad Men Season 7 Part 1,2.01,2.65,94,2014
Buffy the Vampire Slayer Season 5,4.4,2.3,95,2000
Buffy the Vampire Slayer Season 6,4.6,2.3,96,2001
Supernatural Season 1,3.81,2.1,97,2005
Supernatural Season 2,3.14,2.1,98,2006
Supernatural Season 3,2.74,2.1,99,2007
Supernatural Season 4,3.14,2.1,100,2008
Supernatural Season 5,2.64,2.1,101,2009
Supernatural Season 6,2.42,2.1,102,2010
Supernatural Season 7,2.03,2.1,103,2011
Supernatural Season 8,2.52,2.1,104,2012
Supernatural Season 9,2.81,2.1,105,2013
